,song,artist,id
0,Easy On Me,Adele,0gplL1WMoJ6iYaPgMCL0gX
1,Industry Baby,Lil Nas X & Jack Harlow,27NovPIUIRrOZoCHxABJwK
2,Fancy Like,Walker Hayes,58UKC45GPNTflCN6nwCUeF
3,Bad Habits,Ed Sheeran,3rmo8F54jFF8OgYsqTxm5d
6,Need To Know,Doja Cat,3Vi5XqYrmQgOYBajMWSvCi
7,Kiss Me More,Doja Cat Featuring SZA,3DarAbFujv6eYNliUTyqtz
8,Beggin',Maneskin,3Wrjm47oTz2sjIgck11l5e
9,You Right,Doja Cat & The Weeknd,0k4d5YPDr1r7FX77VdqWez
10,If I Didn't Love You,Jason Aldean & Carrie Underwood,1WQ40xJSvgDmD9K7ckJwux
11,Traitor,Olivia Rodrigo,5CZ40GBx1sQ9agT82CLQCT
12,My Universe,Coldplay x BTS,3FeVmId7tL5YN8B7R3imoM
13,Who Want Smoke??,"Nardo Wick Featuring G Herbo, Lil Durk & 21 Savage",4yNoUQkYf1QF8iYlEzNynH
15,Meet Me At Our Spot,THE ANXIETY: WILLOW & Tyler Cole,07MDkzWARZaLEdKxo6yArG
16,Montero (Call Me By Your Name),Lil Nas X,1SC5rEoYDGUK4NfG82494W
17,Chasing After You,Ryan Hurd With Maren Morris,1ZIKpMTRPqhwAoVXWY3tXI
18,Girls Want Girls,Drake Featuring Lil Baby,37Nqx7iavZpotJSDXZWbJ3
19,Moth To A Flame,Swedish House Mafia & The Weeknd,0VO8gYVDSwM1Qdd2GsMoYK
21,Thats What I Want,Lil Nas X,0e8nrvls4Qqv5Rfa2UhqmO
22,Pepas,Farruko,5fwSHlTEWpluwOM0Sxnh5k
23,Love Nwantiti (Ah Ah Ah),CKay,2Xr1dTzJee307rmrkt8c0g
24,Take My Breath,The Weeknd,2XfcedFzvvUCHkuM1ycPX3
25,Happier Than Ever,Billie Eilish,4RVwu0g32PAqgUiJoXsdF8
26,Wockesha,Moneybagg Yo,0nqhKXDjsyBMvbeWmgijD0
27,Buy Dirt,Jordan Davis Featuring Luke Bryan,69AIpwGNLxr4qS1X5ynx60
29,Cold As You,Luke Combs,7IWV29mryrqtO0JVgnPtfv
30,A-O-K,Tai Verdes,0mBP9X2gPCuapvpZ7TGDk3
31,You Should Probably Leave,Chris Stapleton,2UikqkwBv7aIvlixeVXHWt
32,Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),02VBYrHfVwfEWXk5DXyf0T
33,Thinking 'Bout You,Dustin Lynch Featuring Lauren Alaina Or MacKenzie Porter,4wBjKhJx6JnGoNJfJs24pd
34,Memory I Don't Mess With,Lee Brice,1zYZs8Vbjhbzx5M3olcRnm
35,Bubbly,Young Thug With Drake & Travis Scott,4KDNRh9Oor80z3XIxdWlui
36,Wild Side,Normani Featuring Cardi B,2vXgyN14LX2zl7JEASw242
37,Sharing Locations,Meek Mill Featuring Lil Baby & Lil Durk,3J4VKkUpLvomXJbn9ZAypO
38,Gyalis,Capella Grey,7wpyrkjEgz7W1vNYDxMKrF
39,I Was On A Boat That Day,Old Dominion,1nnsiuuYlvPF9gxXIiyAr8
40,Family Ties,Baby Keem & Kendrick Lamar,7Bpx2vsWfQFBACRz4h3IqH
41,Have Mercy,Chloe,5SixeLvPsYpk7qq9lo5xYg
42,Fair Trade,Drake Featuring Travis Scott,40iJIUlhi6renaREYGeIDS
43,Same Boat,Zac Brown Band,4HD9SLK4s9rwRyuFt3n8N7
44,My Boy,Elvie Shane,1tm7c4V0kqLiN0XPVnoUcT
45,Chosen,Blxst & Tyga Featuring Ty Dolla $ign,40QrLHWdsxyXLAdjJG4Rxs
46,Baddest,"Yung Bleu, Chris Brown & 2 Chainz",60Cti8CrcbEQTmTHq8R0tC
47,Knowing You,Kenny Chesney,2EEfUuBRZA4Ax1vYcluFS0
48,Memory,Kane Brown X blackbear,34chhNX59Wo9HMFCsI3K8Y
49,Cold Beer Calling My Name,Jameson Rodgers Featuring Luke Combs,3dV1fjKOlLnaNK5MeZHXGv
50,Not In The Mood,"Lil Tjay, Fivio Foreign & Kay Flock",25GyyK9CyZRiDCsPY51fIT
51,Pissed Me Off,Lil Durk,52nTQQahs46s1iHFQ3Wv5Q
52,Sand In My Boots,Morgan Wallen,0uRrG2jRR5tuifsYIJHEao
53,'Til You Can't,Cody Johnson,4k3lPl8YTKuY8c1HelVnm3
54,Love Again,Dua Lipa,21e6bBfG2PKs1cIAxZqqVP
55,Whiskey And Rain,Michael Ray,1tf4Bfk8JIKryLpWYRvyiI
56,One Mississippi,Kane Brown,4FdPnT2cFrpWCmWZd7GXc3
57,Switches & Dracs,Moneybagg Yo Featuring Lil Durk & EST Gee,4c7LkE1lSNj3RR4cZo0jEi
58,Jugaste y Sufri,Eslabon Armado Featuring DannyLux,3NqBxTOMCJ3zW9CIP51td4
59,Too Easy,Gunna & Future,1t55dGrBkLvKDzNa9QJ3LV
60,Esta Danada,Ivan Cornejo,6G2xXQRSZlEzYsUEb3uvuR
